x,y,z
10,10,73.5
10,20,54
10,30,45
10,40,18
10,50,12.4
10,60,4
10,70,7.5
10,80,20
20,10,32.5
20,20,42
20,30,20
20,40,25
20,50,12
20,60,13.5
20,70,9.5
20,80,3.5
30,10,4.5
30,20,26
30,30,33.7
30,40,38
30,50,43
30,60,24
30,70,2
30,80,10
40,10,14
40,20,12.8
40,30,19
40,40,40.5
40,50,17.5
40,60,3.5
40,70,3.5
40,80,5.3
50,10,12.5
50,20,2
50,30,9.5
50,40,25
50,50,23
50,60,13
50,70,3.2
50,80,0.2
60,10,17.5
60,20,3
60,30,26
60,40,8
60,50,12
60,60,13.5
60,70,9.5
60,80,4.5
70,10,16.7
70,20,10.5
70,30,24.5
70,40,51.5
70,50,46
70,60,16
70,70,2
70,80,5.8
80,10,48.5
80,20,7
80,30,27.9
80,40,60.5
80,50,26
80,60,17
80,70,45
80,80,90
